,Date,10591226
266,30-7-2023,1360
267,20-5-2023,1348
268,10-2-2023,1343
269,22-2-2023,1327
270,20-3-2023,1315
271,16-3-2023,1306
272,17-6-2023,1297
273,24-3-2023,1287
274,24-6-2023,1281
275,12-1-2023,1279
276,27-5-2023,1260
277,10-6-2023,1248
278,03-2-2023,1245
279,01-7-2023,1241
280,19-1-2023,1237
281,05-7-2023,1235
282,23-2-2023,1230
283,30-6-2023,1207
284,03-6-2023,1203
285,31-3-2023,1187
286,26-1-2023,1187
287,11-1-2023,1180
288,15-2-2023,1165
289,18-1-2023,1165
290,17-4-2023,1155
291,29-4-2023,1152
292,15-3-2023,1151
293,24-4-2023,1148
294,06-4-2023,1143
295,10-4-2023,1133
296,16-6-2023,1118
297,06-8-2023,1109
298,23-6-2023,1096
299,19-6-2023,1094
300,12-5-2023,1085
301,02-2-2023,1083
302,05-6-2023,1079
303,16-2-2023,1072
304,04-4-2023,1071
305,22-4-2023,1069
306,08-7-2023,1065
307,24-1-2023,1043
308,26-5-2023,1026
309,02-6-2023,1025
310,14-4-2023,1017
311,09-2-2023,1008
312,09-6-2023,994
313,03-3-2023,992
314,19-5-2023,987
315,05-5-2023,968
316,31-1-2023,964
317,10-7-2023,954
318,08-2-2023,948
319,01-2-2023,947
320,25-1-2023,945
321,16-5-2023,934
322,21-4-2023,926
323,30-5-2023,923
324,15-7-2023,906
325,28-2-2023,904
326,05-4-2023,898
327,14-2-2023,897
328,08-3-2023,892
329,28-4-2023,890
330,04-7-2023,888
331,24-7-2023,882
332,07-7-2023,875
333,13-6-2023,843
334,17-7-2023,841
335,30-3-2023,839
336,09-3-2023,836
337,07-2-2023,836
338,01-3-2023,833
339,13-4-2023,831
340,07-3-2023,826
341,22-7-2023,818
342,23-3-2023,817
343,14-3-2023,806
344,01-6-2023,789
345,31-5-2023,788
346,28-3-2023,776
347,29-6-2023,772
348,23-5-2023,751
349,21-7-2023,742
350,02-3-2023,742
351,15-6-2023,734
352,06-7-2023,731
353,21-3-2023,723
354,14-7-2023,719
355,25-5-2023,717
356,29-3-2023,708
357,14-6-2023,695
358,09-5-2023,694
359,11-4-2023,694
360,17-5-2023,689
361,01-7-2022,687
362,08-6-2023,684
363,22-6-2023,668
364,12-4-2023,667
365,29-7-2023,658
366,21-6-2023,654
367,11-5-2023,651
368,04-5-2023,649
369,20-4-2023,647
370,22-3-2023,646
371,18-4-2023,631
372,06-6-2023,628
373,27-6-2023,622
374,10-5-2023,621
375,20-6-2023,612
376,12-7-2023,607
377,28-6-2023,605
378,24-5-2023,597
379,31-7-2023,594
380,18-5-2023,594
381,07-6-2023,591
382,27-4-2023,585
383,13-7-2023,565
384,25-4-2023,558
385,26-4-2023,556
386,02-5-2023,551
387,13-8-2023,534
388,07-8-2023,524
389,19-4-2023,524
390,03-5-2023,521
391,28-7-2023,517
392,27-7-2023,488
393,19-7-2023,473
394,11-7-2023,455
395,20-8-2023,435
396,20-7-2023,433
397,05-8-2023,430
398,26-7-2023,385
399,04-8-2023,378
400,12-8-2023,369
401,25-7-2023,367
402,18-7-2023,362
403,27-8-2023,352
404,11-8-2023,349
405,01-8-2023,265
406,14-8-2023,261
407,19-8-2023,249
408,18-8-2023,237
409,03-8-2023,230
410,10-8-2023,212
411,09-8-2023,211
412,08-8-2023,207
413,02-8-2023,199
